title_id,territory,available,rights_window_ok
T1,BR,True,True
T1,IN,True,True
T1,JP,True,True
T1,MX,True,True
T1,US,True,True
T1,AE,True,True
T2,BR,True,True
T2,IN,True,True
T2,JP,True,True
T2,MX,True,True
T2,US,True,True
T2,AE,True,True
T3,BR,True,True
T3,IN,True,True
T3,JP,True,True
T3,MX,True,True
T3,US,True,True
T3,AE,True,True
T4,BR,True,True
T4,IN,True,True
T4,JP,True,True
T4,MX,True,True
T4,US,True,True
T4,AE,True,True
T5,BR,True,True
T5,IN,True,True
T5,JP,True,True
T5,MX,True,True
T5,US,True,True
T5,AE,True,True
T6,BR,True,True
T6,IN,True,True
T6,JP,True,True
T6,MX,True,True
T6,US,True,True
T6,AE,True,True
T7,BR,True,True
T7,IN,True,True
T7,JP,True,True
T7,MX,True,True
T7,US,True,True
T7,AE,True,True
T8,BR,True,True
T8,IN,True,True
T8,JP,False,True
T8,MX,True,True
T8,US,True,True
T8,AE,True,True
T9,BR,True,True
T9,IN,True,True
T9,JP,True,True
T9,MX,True,True
T9,US,True,True
T9,AE,True,True
T10,BR,True,True
T10,IN,True,True
T10,JP,True,True
T10,MX,True,True
T10,US,True,True
T10,AE,True,True
T11,BR,True,True
T11,IN,False,True
T11,JP,True,True
T11,MX,True,True
T11,US,True,True
T11,AE,True,True
T12,BR,True,True
T12,IN,True,True
T12,JP,True,True
T12,MX,True,True
T12,US,True,True
T12,AE,True,True
T13,BR,True,True
T13,IN,True,True
T13,JP,True,True
T13,MX,True,True
T13,US,True,True
T13,AE,True,True
T14,BR,True,True
T14,IN,True,True
T14,JP,True,True
T14,MX,True,True
T14,US,True,True
T14,AE,True,True
T15,BR,True,True
T15,IN,True,True
T15,JP,True,True
T15,MX,True,True
T15,US,True,True
T15,AE,True,True
T16,BR,True,True
T16,IN,True,True
T16,JP,True,True
T16,MX,True,True
T16,US,True,True
T16,AE,True,True
T17,BR,True,True
T17,IN,True,True
T17,JP,True,True
T17,MX,True,True
T17,US,True,True
T17,AE,True,True
T18,BR,True,True
T18,IN,True,True
T18,JP,True,True
T18,MX,True,True
T18,US,True,True
T18,AE,True,True
T19,BR,True,True
T19,IN,True,True
T19,JP,True,True
T19,MX,True,True
T19,US,True,True
T19,AE,True,True
T20,BR,True,True
T20,IN,True,True
T20,JP,True,True
T20,MX,True,True
T20,US,True,True
T20,AE,True,True
T21,BR,True,True
T21,IN,True,True
T21,JP,True,True
T21,MX,True,True
T21,US,True,True
T21,AE,True,True
T22,BR,True,True
T22,IN,True,True
T22,JP,True,True
T22,MX,True,True
T22,US,True,True
T22,AE,True,True
T23,BR,True,True
T23,IN,True,True
T23,JP,True,True
T23,MX,True,True
T23,US,True,True
T23,AE,True,True
T24,BR,True,True
T24,IN,True,True
T24,JP,True,True
T24,MX,True,True
T24,US,True,True
T24,AE,True,True
T25,BR,True,True
T25,IN,True,True
T25,JP,True,True
T25,MX,True,True
T25,US,True,True
T25,AE,True,True
T26,BR,True,True
T26,IN,True,True
T26,JP,True,True
T26,MX,True,True
T26,US,True,True
T26,AE,True,True
T27,BR,True,True
T27,IN,True,True
T27,JP,True,False
T27,MX,True,True
T27,US,True,True
T27,AE,True,True
T28,BR,True,True
T28,IN,True,True
T28,JP,True,True
T28,MX,True,True
T28,US,True,True
T28,AE,True,True
T29,BR,True,True
T29,IN,True,True
T29,JP,True,True
T29,MX,True,True
T29,US,True,True
T29,AE,True,True
T30,BR,True,True
T30,IN,True,True
T30,JP,True,True
T30,MX,True,True
T30,US,True,True
T30,AE,True,True
T31,BR,True,True
T31,IN,True,True
T31,JP,True,True
T31,MX,True,True
T31,US,True,True
T31,AE,True,True
T32,BR,True,True
T32,IN,True,True
T32,JP,True,True
T32,MX,True,True
T32,US,True,True
T32,AE,True,True
